# NextExplorer — Português (pt). key<TAB>value.
common.cancel	Cancelar
common.save	Guardar
common.edit	Editar
common.retry	Tentar novamente
common.delete	Eliminar
common.remove	Remover
common.clear	Limpar
common.done	Concluído
common.ok	OK
common.openSettings	Abrir Definições
common.logOut	Terminar sessão
common.close	Fechar
common.back	Voltar
common.share	Partilhar
common.download	Transferir
common.sort	Ordenar
common.select	Selecionar
common.search	Pesquisar
common.password	Palavra-passe
common.never	Nunca
common.selectedCount	%lld selecionados
tab.browse	Explorar
tab.favorites	Favoritos
tab.shared	Partilhados
tab.downloads	Transferências
tab.settings	Definições
sort.sheetTitle	Ordenar por
sort.name	Nome
sort.size	Tamanho
sort.kind	Tipo
sort.dateModified	Data de modificação
sort.dateAdded	Data de adição
sort.dateShared	Data de partilha
sort.expiration	Validade
sort.email	E-mail
sort.type	Tipo
sort.ascending	Ascendente
sort.descending	Descendente
select.selectAll	Selecionar tudo
select.deselectAll	Desmarcar tudo
select.listView	Vista de lista
select.gridView	Vista de grelha
emptyState.folderEmpty	Esta pasta está vazia.
emptyState.loadFailed	Não foi possível contactar o servidor.
emptyState.noSearchMatches	Sem resultados para “%@”.
accessMode.readonly	Apenas leitura
accessMode.readwrite	Leitura e escrita
shareTarget.anyone	Qualquer pessoa com a ligação
shareTarget.users	Utilizadores específicos
directLinkMode.auto	Automático
directLinkMode.inline	Ver
directLinkMode.raw	Bruto
directLinkMode.download	Transferir
thumbnailSize.small	Pequena
thumbnailSize.medium	Média
thumbnailSize.large	Grande
downloadLocation.documents	Documentos
downloadLocation.cache	Cache
dateFormat.automatic	Automático
browse.navigationTitle	Explorar
browse.scopeThisFolder	Esta pasta
browse.scopeEverywhere	Em todo o lado
browse.searchScopeInFolder	Esta pasta
browse.searchScopeEverywhere	Em todo o lado
browse.locations	Localizações
browse.open	Abrir
browse.unsupportedFileType	Tipo de ficheiro não suportado
browse.actionGetInfo	Informações
browse.actionPermissions	Permissões
browse.actionRename	Mudar o nome
browse.actionExtract	Extrair
browse.actionCompress	Comprimir
browse.actionDownload	Transferir
browse.actionAddToFavorites	Adicionar aos Favoritos
browse.actionRemoveFromFavorites	Remover dos Favoritos
browse.actionShare	Criar ligação de partilha
browse.actionDelete	Eliminar
browse.renameTitle	Mudar o nome
browse.renameNamePlaceholder	Nome
browse.actionNewFolder	Criar pasta
browse.newFolderTitle	Nova pasta
browse.newFolderPlaceholder	Nome da pasta
browse.newFolderConfirm	Criar
browse.deleteConfirmTitle	Eliminar?
browse.deleteConfirmOne	Eliminar “%@”?
browse.deleteConfirmMany	Eliminar %lld itens?
browse.deleteMessage	Esta ação não pode ser anulada.
browse.deleteLinkedSharesOne	Isto também remove 1 ligação de partilha que aponta para aqui.
browse.deleteLinkedSharesMany	Isto também remove %lld ligações de partilha que apontam para aqui.
browse.deleteLinkedSharesUnavailable	Não foi possível verificar as ligações que apontam para aqui. As existentes deixarão de funcionar.
browse.searchNoMatchesInFolder	Sem resultados para “%@”.
browse.searchEverywhere	Pesquisar em todo o lado
browse.searchFailed	Não foi possível pesquisar. Verifique a ligação e tente novamente.
browse.progressExtracting	A extrair…
browse.progressCompressing	A comprimir…
browse.offlineBannerTitle	Offline
browse.offlineBannerDetail	A mostrar uma cópia guardada de %@
browse.actionCopy	Copiar
browse.destinationPickerMoveTitle	Mover para…
browse.destinationPickerConfirmMove	Mover para aqui
browse.destinationPickerNoFolders	Nenhuma pasta aqui
browse.destinationPickerLoadFailed	Não foi possível carregar as pastas.
browse.actionMove	Mover
browse.actionPaste	Colar
browse.actionPasteCount	Colar %lld itens
browse.actionPasteHere	Colar aqui
browse.actionClearClipboard	Limpar área de transferência
browse.clipboardMoveCount	%lld para mover
browse.clipboardCopyCount	%lld para copiar
browse.clipboardCopiedOne	%@ copiado
browse.clipboardCopiedMany	%lld itens copiados
browse.progressMoving	A mover…
browse.progressCopying	A copiar…
browse.transferMoved	Movidos %lld itens
browse.transferCopied	Copiados %lld itens
browse.transferMovedWithSkipped	Movidos %1$lld itens, ignorados %2$lld
browse.transferCopiedWithSkipped	Copiados %1$lld itens, ignorados %2$lld
browse.transferConflictTitle	Substituir itens?
browse.transferConflictMessageOne	"%@" já existe nesta pasta.
browse.transferConflictMessageMany	%lld itens já existem nesta pasta.
browse.transferConflictReplace	Substituir
browse.transferConflictKeepBoth	Manter ambos
browse.actionOpenInBrowser	Abrir no navegador
favorites.navigationTitle	Favoritos
favorites.emptyList	Marque pastas em Explorar para as ver aqui.
favorites.actionRemoveFromFavorites	Remover dos Favoritos
favorites.actionEdit	Editar
favorites.editTitle	Editar favorito
favorites.editNameLabel	Nome
favorites.editNameErrorEmpty	O nome não pode estar vazio.
favorites.editIconLabel	Ícone
favorites.editIconOutline	Contorno
favorites.editIconSolid	Preenchido
favorites.editColorLabel	Cor
favorites.editColorDefault	Predefinição
favorites.editSave	Guardar
favorites.reorderFailed	Não foi possível guardar a nova ordem.
favorites.removeConfirm	Remover %lld favoritos?
favorites.removeMessage	Isto apenas os remove dos Favoritos.
favorites.removeFailedOne	Não foi possível remover esse favorito.
favorites.removeFailedMany	Não foi possível remover esses favoritos.
favorites.removePartial	Removidos %1$lld de %2$lld.
downloads.navigationTitle	Transferências
downloads.actionOpenInFiles	Abrir em Ficheiros
downloads.emptyList	Os ficheiros que transferir a partir de Explorar aparecem aqui.
downloads.deleteConfirmTitle	Eliminar?
downloads.deleteConfirmOne	Eliminar “%@”?
downloads.deleteConfirmMany	Eliminar %lld ficheiros?
downloads.deleteSingleMessage	Isto apenas remove a cópia local. O ficheiro permanece no servidor.
downloads.deleteBulkMessage	Isto apenas remove as cópias locais. Os ficheiros permanecem no servidor.
downloads.errorNameExists	Já existe um ficheiro com esse nome.
downloads.errorInvalidName	Esse nome não é permitido.
downloads.errorMissing	Já não foi possível encontrar esse ficheiro.
downloads.errorGeneric	Não foi possível concluir essa ação.
unsupportedPreview.genericType	Ficheiro
unsupportedPreview.cannotOpen	Esta aplicação não consegue abrir este tipo de ficheiro.
uploads.navigationTitle	Envios
uploads.menuTitle	Enviar
uploads.actionUploadFromFiles	Enviar a partir de Ficheiros
uploads.actionUploadFromPhotos	Enviar a partir da galeria
uploads.actionTakePhoto	Tirar foto ou vídeo
uploads.cameraDeniedTitle	É necessário acesso à câmara
uploads.cameraDeniedMessage	Permita o acesso à câmara nas Definições para tirar uma foto ou vídeo.
uploads.destinationTitle	Enviar para…
uploads.destinationConfirm	Enviar para aqui
